Title,Ratings,Production
Dangal,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]","['Aamir Khan Productions','UTV Motion Pictures','Walt Disney Pictures India']"
Fifty Shades of Black,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '28/100'}]","['IM Global', 'Baby Way Productions']"
No Manches Frida,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]","['Televisa Cine','Pantelion Films','Alcon Entertainment','Constantin Film','Neverending Media','Videocine']"
Cafe Society,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",['Cineville']
Pride and Prejudice and Zombies,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '45/100'}]","['Cross Creek Pictures', 'Sierra Pictures', 'MadRiver Pictures', 'QC Entertainment', 'Allison Shearmur Productions', 'Handsomecharlie Films', 'Head Gear Films']"
The Darkness,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '27/100'}]","['Blumhouse Productions', 'Chapter One Films', 'EMU Creek Pictures']"
Nocturnal Animals,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",['Fade to Black']
Live by Night,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['RatPac-Dune Entertainment', 'Appian Way Productions', 'Pearl Street Films']"
The Perfect Match,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '41/100'}]","['CodeBlack Films', 'Jorva Entertainment Productions', 'Flavor Unit Entertainment']"
Popstar: Never Stop Never Stopping,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","['Perfect World Pictures', 'Apatow Company', 'The Lonely Island']"
Hardcore Henry,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '51/100'}]","['Huayi Brothers Pictures', 'Bazelevs', 'Versus Pictures']"
Meet the Blacks,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",['Hidden Empire Film Group']
Queen of Katwe,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '73/100'}]","['Walt Disney Pictures', 'ESPN Films', 'Cine Mosaic', 'Mirabai Films']"
Loving,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '79/100'}]","['Big Beach', 'Raindog Films']"
Silence,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '79/100'}]","['SharpSword Films', 'AI Film', 'Emmett/Furla/Oasis Films', 'CatchPlay', 'IM Global', 'Verdi Productions', 'YLK Sikelia', 'Fábrica de Cine']"
Shut In,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '25/100'}]","['Lava Bear Films', 'Transfilm International', 'Canal+', 'Ocs', 'Cine+']"
The Brothers Grimsby,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","['LStar Capital', 'Village Roadshow Pictures', 'Four By Two Films', 'Big Talk Productions', 'Working Title Films']"
The Young Messiah,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '33/100'}]","['1492 Pictures', 'CJ Entertainment', 'Hyde Park International', 'Ocean Blue Entertainment']"
Southside with You,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '74/100'}]","['Get Lifted Film Co.', 'IM Global']"
Sultan,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",['Yash Raj Films']
Captain Fantastic,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]","['Electric City Entertainment', 'ShivHans Pictures']"
20th Century Women,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","['Annapurna Pictures', 'Archer Gray', 'Modern People']"
Hunt for the Wilderpeople,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","['Defender Films', 'Piki Films', 'Curious']"
Bleed for This,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","['Bruce Cohen Productions', 'Magna Entertainment', 'Sikelia Productions', 'The Solution Entertainment Group', 'Verdi Productions', 'Younger Than You']"
Incarnate,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Metacritic', 'Value': '30/100'}]","['IM Global', 'Blumhouse Productions', 'WWE Studios', 'Deep Underground Films']"
Absolutely Fabulous: The Movie,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",['BBC Films']
Hands of Stone,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '54/100'}]","['Fuego Films', 'Vertical Media', 'Panama Film Commission', 'Epicentral Studios']"
Don't Think Twice,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","['The Film Arcade', 'Cold Iron Pictures', 'Secret Public Productions']"
The Meddler,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]","['Stage 6 Films', 'Anonymous Content']"
Ae Dil Hai Mushkil,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",['Dharma Productions']
A Hologram for the King,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","['Playtone', 'Primeridian Entertainment', 'X-Filme Creative Pool\xa0(de)', 'Fábrica de Cine']"
Swiss Army Man,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['Tadmor', 'Astrakan Films AB', 'Cold Iron Pictures', 'Blackbird Films', 'Prettybird']"
Denial,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '63/100'}]","['Krasnoff/Foster Entertainment', 'Shoebox Films', 'Participant Media', 'BBC Films']"
Morgan,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",['Scott Free Productions']
Kabali,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",['V Creations']
The Man Who Knew Infinity,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['Pressman Film','Xeitgeist Entertainment Group','Cayenne Pepper Productions']"
Where to Invade Next,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['Dog Eat Dog Films', 'IMG Films']"
Max Steel,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '22/100'}]","['Dolphin Films', 'Mattel Playground Productions', 'Ingenious Media']"
Batman: The Killing Joke,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]","['DC Comics', 'Warner Bros. Animation']"
A Monster Calls,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['Apaches Entertainment', 'Telecinco Cinema', 'Peliculas La Trini', 'Participant Media', 'River Road Entertainment']"
Midnight Special,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['Faliro House Productions', 'Tri-State Pictures', 'RatPac-Dune Entertainment']"
Rules Don't Apply,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '60/100'}]","['New Regency Pictures', 'RatPac Entertainment', 'Worldview Entertainment', 'Shangri-La Entertainment', 'Demarest Films', 'Tatira']"
Miss Sloane,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['FilmNation Entertainment', 'Archery Pictures', 'France 2 Cinema', 'Canal+', 'Ciné+', 'France Televisions']"
A Man Called Ove,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",['Tre Vänner']
Indignation,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","['BFB Entertainment', 'FilmNation Entertainment', 'Likely Story', 'RT Features', 'Symbolic Exchange', 'X Filme Creative Pool']"
Maggie's Plan,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['Hall Monitor', 'Locomotive', 'Rachael Horovitz Productions', 'Round Films']"
Sing Street,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '79/100'}]","['Likely Story', 'Merced Media', 'PalmStar Entertainment', 'FilmNation Entertainment', 'Irish Film Board', 'Cosmo Films', 'Distressed Films', 'FilmWave']"
Green Room,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '79/100'}]","['Broad Green Pictures', 'Film Science']"
The Eagle Huntress,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}]","['Kissaki Films', 'Stacey Reiss Productions']"
Our Kind of Traitor,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '57/100'}]","['Film4', 'The Ink Factory', 'Potboiler Productions', 'StudioCanal']"
Compadres,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",['Draco Films']
Anthropoid,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","['LD Entertainment', '22h22', 'Lucky Man Films']"
Ip Man 3,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '57/100'}]","['Dreams Salon Entertainment Culture', 'Pegasus Motion Pictures', 'Starbright Communications', 'Super Hero Films']"
Miles Ahead,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['Bifrost Pictures','Miles Davis Properties, LLC','IM Global Films','Sobini Films','Yellowsaw Productions Limited','Crescendo Productions']"
Kapoor & Sons,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",['Dharma Productions']
The Disappointments Room,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '31/100'}]","['Demarest', 'Los Angeles Media Fund', 'Media Talent Group', 'Relativity Studios']"
Hillsong: Let Hope Rise,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '43/100'}]","['Cantinas Entertainment', 'Grace Hill Media', 'MediaWeaver Entertainment']"
Dear Zindagi,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]","['Red Chillies Entertainment','Dharma Productions','Hope Productions']"
Elle,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '89/100'}]","['SBS Productions', 'Pallas Film', 'France 2 Cinéma', 'Entre Chien et Loup', 'Canal+', 'France Télévisions', 'Orange Cinéma Séries', 'Casa Kafka Pictures', 'Proximus', 'Centre National de la Cinématographie', 'Filmförderungsanstalt']"
A Aa,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",['Haarika & Hassine Creations']
Fan,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",['Yash Raj Films']
Paterson,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '90/100'}]","['K5 International', 'Le Pacte', 'Animal Kingdom', 'Inkjet Productions']"
Train to Busan,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]","['Next Entertainment World', 'RedPeter Film']"
I'm Not Ashamed,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",['Visible Pictures']
A Bigger Splash,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '74/100'}]","['Frenesy Film Company', 'Cota Film', 'Ministero per i Beni e le Attività Culturali', 'Regione Siciliana', 'Sicilia Film Commission', 'Sensi Contemporanei Cinema e Audiovisivo', 'StudioCanal']"
The Dressmaker,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]","['Apollo Media', 'Film Art Media', 'Screen Australia']"
The Handmaiden,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","['Moho Film', 'Yong Film']"
Desierto,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","['Esperanto Kino', 'CG Cinema', 'Orange Studio', 'Itaca Films', 'Lava Bear Films', 'IM Global']"
Greater,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",['Greater Productions']
Demolition,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['Black Label Media', 'Sidney Kimmel Entertainment', 'Mr. Mudd']"
Shin Godzilla,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]","['Toho Pictures', 'Cine Bazar']"
M.S. Dhoni: The Untold Story,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]","['Fox Star Studios', 'Inspired Entertainment', 'Friday FilmWorks']"
Busco novio para mi mujer,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]","['Animal de Luz Films', 'Azucar Films', 'Cacerola Films']"
Billy Lynn's Long Halftime Walk,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['Studio 8', 'LStar Capital', 'Film4', 'Bona Film Group', 'The Ink Factory', 'Marc Platt Productions', 'TriStar Productions']"
Weiner,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","['Edgeline Films', 'Motto Pictures']"
The Comedian,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '40/100'}]","['Cinelou Films', 'Linson Entertainment', 'Anvil Films', 'The Fyzz Facility', 'Mad Riot Entertainment']"
I Saw the Light,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]","['Bron Studios', 'CW Media Finance', 'RatPac Entertainment']"
Equity,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",['Broad Street Pictures']
Neerja,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",['Fox Star Studios']
Jane Got a Gun,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['Relativity Media', 'Boies/Schiller Film Group', 'Handsomecharlie Films', '1821 Pictures', 'Stone Village', 'WeatherVane Productions']"
Priceless,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Metacritic', 'Value': '41/100'}]",['Radiate Films']
Julieta,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '73/100'}]","['El Deseo','Televisión Española (TVE)','Canal+ France','Echo Lake Entertainment','Ciné +']"
Toni Erdmann,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '93/100'}]","['Komplizen Film', 'coop99 filmproduktion', 'KNM', 'Missing Link Films', 'SWR', 'WDR', 'Arte']"
Genius,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['Riverstone Pictures', 'Pinewood Pictures', 'FilmNation Entertainment', 'Ingenious Media', 'Desert Wolf Productions', 'Michael Grandage Company']"
The Little Prince,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '70/100'}]","['Wild Bunch', 'Kaibou Productions', 'LPPTV', 'M6 Films', 'On Animation Studios', 'Onyx Films', 'Orange Studio', 'TouTenKartoon']"
The Neon Demon,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","['Wild Bunch', 'Gaumont', 'Space Rocket Nation', 'Vendian Entertainment', 'Bold Films', 'Danish Film Institute']"
Embrace of the Serpent,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Buffalo Films', 'Buffalo Producciones', 'Caracol Televisión', 'Ciudad Lunar Producciones', 'Dago García Producciones', 'MC Producciones', 'Nortesur Producciones']"
Housefull 3,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",['Nadiadwala Grandson Entertainment']
Mohenjo Daro,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",['Ashutosh Gowariker Productions Private Limited']
Lazer Team,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",['Rooster Teeth']
Wazir,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",['Vinod Chopra Films']
Certain Women,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Film Science', 'Stage 6 Films']"
Rustom,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]","['Zee Studios','KriArj Entertainment','Cape Of Good Films','Plan C Studios']"
The Innocents,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]","['Achilles Film Productions','','20th Century Fox']"
The Hollars,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['Groundswell Productions', 'Sycamore Pictures', 'Sunday Night']"
Star Wars: The Force Awakens,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","['Lucasfilm Ltd.', 'Bad Robot Productions']"
Jurassic World,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","['Amblin Entertainment', 'Legendary Pictures']"
Avengers: Age of Ultron,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",['Marvel Studios']
Inside Out,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]","['Walt Disney Pictures', 'Pixar Animation Studios']"
Furious 7,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '67/100'}]","['Original Film', 'One Race Films', 'Media Rights Capital', 'China Film']"
Minions,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['Universal Pictures','Illumination Entertainment']"
The Hunger Games: Mockingjay - Part 2,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",['Color Force']
The Martian,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]","['Scott Free Productions', 'Kinberg Genre', 'TSG Entertainment']"
Spectre,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",['Eon Productions']
Mission: Impossible - Rogue Nation,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '75/100'}]","['Skydance Productions', 'Odin', 'China Movie Channel', 'Alibaba Pictures', 'Bad Robot Productions']"
Pitch Perfect 2,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",['Gold Circle Films']
The Revenant,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['Regency Enterprises', 'RatPac Entertainment', 'Anonymous Content', 'M Productions', 'Appian Way Productions']"
Ant-Man,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",['Marvel Studios']
Home,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",['DreamWorks Animation']
Hotel Transylvania 2,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","['Sony Pictures Animation','']"
Fifty Shades of Grey,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '46/100'}]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']"
The SpongeBob Movie: Sponge Out of Water,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","['Paramount Animation', 'Nickelodeon Movies', 'United Plankton Pictures']"
