Title,Ratings,Production
Truth or Dare,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",['Blumhouse Productions']
Winchester,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '28/100'}]","['Bullitt Entertainment', 'Diamond Pictures', 'Imagination Design Works']"
Isle of Dogs,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","['Indian Paintbrush', 'American Empirical Pictures']"
The Strangers: Prey at Night,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['The Fyzz Facility', 'White Comet Films', 'BLOOM', 'Burk A Project', 'Intrepid Pictures', 'Rogue']"
"Paul, Apostle of Christ","[{'Source': 'Rotten Tomatoes', 'Value': '43%'}]","['Affirm Films', 'ODB Films']"
Forever My Girl,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",['LD Entertainment']
I Feel Pretty,[],"['Voltage Pictures', 'Wonderland Sound and Vision']"
Super Troopers 2,"[{'Source': 'Rotten Tomatoes', 'Value': '21%'}]","['Broken Lizard Industries', 'Cataland Films']"
Chappaquiddick,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",['Apex Entertainment']
Padmaavat,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '63/100'}]","['Bhansali Productions', 'Viacom 18 Motion Pictures']"
Midnight Sun,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '38/100'}]","['Boies / Schiller Film Group', 'Rickard Pictures']"
The Miracle Season,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",['LD Entertainment']
Early Man,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","['Aardman Animations', 'British Film Institute']"
Unsane,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '60/100'}]","['Regency Enterprises', 'Extension 765']"
The Death of Stalin,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '88/100'}]","['Main Journey', 'Quad Productions']"
The Hurricane Heist,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '34/100'}]","['Foresight Unlimited', 'Parkside Pictures', 'Windfall Productions', 'Tadross Media Group']"
Every Day,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['Likely Story', 'FilmWave']"
God's Not Dead: A Light in Darkness,"[{'Source': 'Rotten Tomatoes', 'Value': '13%'}]",['Pure Flix']
Gringo,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '46/100'}]","['Denver and Delilah Productions', 'Blue-Tongue Films']"
Samson,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '17/100'}]","['Pure Flix', 'Boomtown Films']"
Beirut,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '69/100'}]","['Radar Pictures', 'ShivHans Pictures']"
Traffik,[],"['Codeblack Films', 'Hidden Empire Film Group']"
7 Days in Entebbe,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['Participant Media', 'Working Title Films']"
Thoroughbreds,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['June Pictures', 'B Story', 'Big Indie Pictures']"
Mary and the Witch's Flower,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '73/100'}]",['Studio Ponoc']
Detective Chinatown 2,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]","['MM2 Entertainment', 'Wanda Pictures', 'Wuzhou Film Distribution']"
A Fantastic Woman,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '86/100'}]","['Fabula', 'Komplizen Film']"
Sgt. Stubby: An American Hero,"[{'Source': 'Rotten Tomatoes', 'Value': '80%'}]","['Fun Academy Motion Pictures', 'Mikros Image']"
Operation Red Sea,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]","['Bona Film Group', 'Emperor Motion Pictures', 'Film Fireworks Production', 'Star Dream Studio Media']"
Baaghi 2,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",['Nadiadwala Grandson Entertainment']
Raid,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]","['Panorama Studios','T-Series']"
The Insult,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '72/100'}]","['Ezekiel Films','Tessalit Productions','Rouge International']"
Star Wars: The Last Jedi,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",['Lucasfilm Ltd.']
Beauty and the Beast,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '65/100'}]","['Walt Disney Pictures', 'Mandeville Films']"
