ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1938,David Gundlach Productions,7.0/10,85%,77/100,1
1939,Lara Enterprises,7.0/10,85%,77/100,1
1940,TVN,7.0/10,85%,77/100,1
1941,Butcher's Run Films,7.2/10,88%,80/100,2
1942,Yellow Bird Films,7.2/10,69%,66/100,1
1943,CineSon Entertainment,7.4/10,81%,66/100,1
1944,Medici Entertainment,7.4/10,81%,66/100,1
1945,NovaStar Digital,7.4/10,81%,66/100,1
1946,Winter's Bone Productions,7.2/10,94%,9/100,1
1947,Haddock Films,8.2/10,91%,8/100,1
1948,100 Bares,8.2/10,91%,8/100,1
1949,Tornasol Films,8.2/10,91%,8/100,1
1950,Fuse Media,6.3/10,28%,45/100,1
1951,Sad Flutes,6.3/10,28%,45/100,1
1952,First Sun,7.0/10,81%,79/100,1
1953,Great Scott Productions Pty. Ltd.,7.4/10,55%,55/100,1
1954,Paranoid Pictures,8.0/10,96%,85/100,1
1955,Antena 3,6.3/10,45%,5/100,1
1956,Rogue Pictures,6.5/10,66%,35/100,2
1957,Break Thru Films,7.4/10,92%,79/100,1
1958,Possibility Pictures,6.3/10,25%,3/100,1
1959,Channel Four Films,7.2/10,71%,69/100,1
1960,Django Films,7.5/10,90%,82/100,1
1961,Marv Partners,7.2/10,64%,55/100,1
1962,Framestore Features,7.2/10,64%,55/100,1
1963,Pathé Distribution,6.3/10,70%,67/100,1
1964,Tohokushinsha,6.7/10,72%,47/100,3
1965,Filmkraft Productions Pvt. Ltd,6.2/10,88%,65/100,2
1966,"Foundry Films,",6.7/10,81%,67/100,1
1967,MISR International Films,6.7/10,81%,67/100,1
1968,Prakash Jha Productions,7.0/10,14%,N/A/100,1
1969,Walkwater Media Ltd,7.0/10,14%,N/A/100,1
1970,Premiere Picture,6.5/10,63%,55/100,1
1971,Echo Lake Productions,7.0/10,78%,72/100,2
1972,Ecosse Films,7.0/10,66%,62/100,3
1973,Epithéte Films,7.2/10,74%,62/100,1
1974,Tapioca Films,7.2/10,74%,62/100,1
1975,Audley Films,7.2/10,80%,65/100,1
1976,BMS Finance,7.2/10,80%,65/100,1
1977,Mittal Productions,7.2/10,88%,75/100,2
1978,Universal Pictures (Canada),7.2/10,80%,65/100,1
1979,Sony Pictures Classics (USA),7.6/10,88%,37/100,2
1980,Hari Om Productions,2.5/10,14%,N/A/100,1
1981,Versus Entertainment,7.0/10,86%,65/100,1
1982,Dark Trick Films,7.0/10,86%,65/100,1
1983,Fulcrum Media Finance,7.3/10,95%,83/100,1
1984,Showtime Australia,7.4/10,91%,46/100,2
1985,Hannibal Pictures,6.2/10,39%,5/100,1
1986,Rollercoaster Entertainment,6.2/10,39%,5/100,1
1987,IndustryWorks Pictures,7.0/10,57%,42/100,1
1988,HighRoad Entertainment,7.0/10,57%,42/100,1
1989,Prelude Pictures,7.0/10,57%,42/100,1
1990,Lone Runner Entertainment,7.0/10,57%,42/100,1
1991,Independent Producers Alliance,7.0/10,57%,42/100,1
1992,SLB Films,7.5/10,71%,N/A/100,1
1993,Lightstorm Entertainment,7.0/10,74%,74/100,2
1994,Sommers Company,5.9/10,35%,34/100,2
1995,Panorama Films,6.7/10,37%,48/100,1
1996,Skylark Productions,6.7/10,31%,47/100,2
1997,The Halcyon Company,6.6/10,33%,49/100,1
1998,Wild West Picture Show,5.5/10,11%,23/100,1
1999,Arwin Productions,6.2/10,N/A%,N/A/100,1
2000,Rickshaw Productions,7.4/10,91%,83/100,1
2001,It's a Laugh Productions,4.3/10,43%,47/100,1
2002,Wild Things Productions,6.8/10,72%,7/100,1
2003,Pandemonium,7.7/10,90%,8/100,1
2004,The Film Department,7.4/10,26%,34/100,1
2005,Bernard Gayle Productions,7.0/10,83%,7/100,1
2006,Parkwood Entertainment,6.0/10,42%,45/100,2
