ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2307,2 Entertain,7.0/10,57%,55/100,1
2308,Bord Scannán na hÉireann,7.0/10,57%,55/100,1
2309,Square One C.I.H.,8.0/10,82%,73/100,1
2310,Linson Film,8.0/10,82%,73/100,1
2311,Initial Entertainment Group,7.4/10,72%,70/100,8
2312,Raw Nerve,5.7/10,52%,50/100,2
2313,Astral Media,7.7/10,89%,82/100,1
2314,Corus Entertainment,7.7/10,89%,82/100,1
2315,Serendipity Point Films,7.7/10,89%,82/100,1
2316,Parkes+MacDonald,7.6/10,66%,6/100,1
2317,BAF Berlin Animation Film,4.5/10,4%,28/100,1
2318,BFC Berliner Film Companie,4.5/10,4%,28/100,1
2319,Brat Na Pont Productions,6.2/10,27%,47/100,1
2320,Montford/Murphy,6.7/10,67%,49/100,1
2321,Zahrlo Productions,5.5/10,N/A%,49/100,1
2322,Collage Cinemagraphique,7.2/10,69%,67/100,1
2323,Morgan Creek,5.9/10,22%,28/100,4
2324,Wiedemann & Berg,8.5/10,92%,89/100,1
2325,Bayerischer Rundfunk,8.0/10,82%,84/100,2
2326,Creado Film,8.5/10,92%,89/100,1
2327,Younggu Art,3.6/10,28%,33/100,1
2328,MGA Entertainment,2.9/10,9%,2/100,1
2329,Mike Young Productions,2.9/10,9%,2/100,1
2330,Baldwin Entertainment Group,6.2/10,36%,34/100,4
2331,Samson Films,7.9/10,97%,88/100,1
2332,New Deal Productions,6.5/10,67%,28/100,2
2333,Southern Cross the Dog Productions,7.0/10,66%,52/100,1
2334,Samwilla Productions,3.5/10,4%,7/100,1
2335,MERADIN Zweite Productions,6.8/10,33%,48/100,1
2336,360 Pictures,3.6/10,7%,6/100,1
2337,WWE Films,5.7/10,28%,36/100,5
2338,"(Condemned Productions, Inc.)",6.0/10,15%,23/100,1
2339,Colossal Entertainment,6.0/10,15%,23/100,1
2340,New Wave Entertainment,6.0/10,15%,23/100,1
2341,Bob Yari Productions,6.9/10,77%,53/100,7
2342,City Entertainment,6.7/10,N/A%,7/100,1
2343,Rodar y Rodar Cine y Televisión,7.5/10,87%,74/100,1
2344,Producciones Cinematográficas Telecinco S.A.U.,7.5/10,87%,74/100,1
2345,Unity Productions,7.3/10,88%,84/100,1
2346,Linsefilm,7.3/10,88%,84/100,1
2347,Funky Buddha Group,7.3/10,88%,84/100,1
2348,Capitol Films,7.2/10,70%,50/100,4
2349,DMK Mediafonds International,6.0/10,61%,62/100,1
2350,Inferno Distribution LLC,6.0/10,61%,62/100,1
2351,L.I.F.T. Productions,6.0/10,61%,62/100,1
2352,Blackfriars Bridge,7.5/10,74%,67/100,2
2353,Kennedy/Marshall Company,8.0/10,94%,92/100,1
2354,Sony BMG Music Film,2.8/10,12%,36/100,1
2355,Capital Arts Entertainment,4.4/10,16%,32/100,1
2356,Truenorth Productions,4.4/10,16%,32/100,1
2357,Adult Swim,6.9/10,48%,54/100,1
2358,Williams Street,6.9/10,48%,54/100,1
2359,Gibraltar Films,7.3/10,91%,77/100,1
2360,Thema Production,7.5/10,84%,74/100,2
2361,Victoires International,7.3/10,87%,66/100,1
2362,Capri Releasing,7.6/10,94%,88/100,1
2363,Foundry Films,7.6/10,94%,88/100,1
2364,Hanway Films,7.6/10,94%,88/100,1
2365,Yari Film Group,6.1/10,60%,43/100,3
2366,Jizzy Entertainment,4.6/10,N/A%,8/100,1
2367,Hi-Def Entertainment,4.6/10,N/A%,8/100,1
2368,Kickin' it Old Skool Productions,4.6/10,N/A%,8/100,1
2369,Région Ile-de-France,8.0/10,96%,9/100,1
2370,Polaris Film Production & Finance,6.8/10,86%,67/100,1
2371,AVRO Television,7.8/10,75%,7/100,1
2372,Clockwork Pictures,7.8/10,75%,7/100,1
2373,Fu Works,7.8/10,75%,7/100,1
2374,VIP 4 Medienfonds,7.8/10,75%,7/100,1
2375,John Goldwyn Productions,7.0/10,77%,73/100,1
2376,John Wells Productions,6.4/10,51%,59/100,4
2377,Cirrus Communications,5.5/10,N/A%,N/A/100,1
2378,Daniel Bobker Productions,5.7/10,24%,19/100,2
2379,Fox Faith,7.4/10,32%,49/100,1
2380,Alberta Film Entertainment,6.7/10,60%,55/100,1
2381,This is that corporation,5.5/10,19%,32/100,1
2382,Russian American Movie Company,4.7/10,9%,24/100,1
2383,Sixteen Films,7.5/10,88%,82/100,1
2384,Matador Pictures,7.5/10,88%,82/100,1
2385,DOX Productions/,8.0/10,95%,84/100,1
2386,/Discovery Films,8.0/10,95%,84/100,1
2387,Voice Pictures,5.7/10,13%,25/100,1
2388,Namesake Entertainment,5.0/10,5%,34/100,1
2389,MovieRoom Productions,5.0/10,5%,34/100,1
2390,The Saul Zaentz Company,8.3/10,77%,81/100,4
2391,Kanzaman,6.9/10,30%,52/100,1
2392,Antena 3 Televisión,7.0/10,47%,58/100,2
2393,Xuxa Producciones,6.9/10,30%,52/100,1
2394,Peters Entertainment,6.4/10,71%,68/100,2
2395,Kennedy Miller Productions,6.5/10,75%,77/100,1
2396,Kingdom Feature Productions,6.5/10,75%,77/100,1
2397,Babelsberg Film,8.0/10,94%,8/100,1
2398,Happy Madison,5.9/10,26%,37/100,8
2399,Media Asia Films,8.5/10,90%,85/100,1
2400,Major Studio Partners,6.9/10,55%,63/100,3
2401,One America Productions,7.3/10,91%,89/100,1
2402,Miramax Films,5.9/10,46%,27/100,8
2403,Outlaw Productions,5.9/10,38%,41/100,5
2404,Boxing Cat Films,4.8/10,25%,37/100,4
2405,The K Entertainment Company,6.3/10,79%,68/100,1
2406,Lionsgate Films,6.9/10,55%,56/100,5
2407,Black & White,5.7/10,40%,52/100,1
2408,HH Films[citation needed],5.7/10,40%,52/100,1
2409,Dickhouse Productions,6.8/10,56%,54/100,2
2410,IMF,6.4/10,52%,53/100,3
2411,Warner Bros. Productions Limited,8.2/10,73%,62/100,1
2412,Anarchos Productions Inc.,8.2/10,73%,62/100,1
2413,Vertigo,8.2/10,73%,62/100,1
2414,Fünfte Babelsberg Film GmbH,8.2/10,73%,62/100,1
2415,Irwin Allen Productions,5.6/10,33%,5/100,1
2416,Radiant Productions,6.0/10,33%,32/100,2
2417,Synthesis Entertainment,5.6/10,33%,5/100,1
2418,Third Gear Productions,7.8/10,91%,8/100,1
2419,Wayans Bros.,7.8/10,12%,N/A/100,1
2420,Universal Feature Animation,6.5/10,69%,62/100,1
2421,Pathé Renn Productions,6.0/10,58%,29/100,3
2422,Beacon Communications,7.1/10,56%,56/100,3
2423,Flash Film Works,6.9/10,37%,53/100,1
2424,Hard Eight Pictures,5.6/10,40%,14/100,4
2425,Matinee Pictures,5.8/10,43%,4/100,1
2426,Newmarket Films,7.2/10,71%,39/100,3
2427,Beacon Pictures,6.5/10,50%,51/100,7
2428,Epsilon Motion Pictures,5.9/10,42%,42/100,7
2429,Nanny McPhee Productions,6.6/10,73%,59/100,1
2430,Konami,6.6/10,29%,3/100,1
2431,Texas Western Productions,7.2/10,N/A%,58/100,1
2432,Glory Road Productions,7.2/10,N/A%,58/100,1
2433,Landscape Productions,5.8/10,27%,4/100,1
2434,Major Studio PArtners,5.8/10,27%,4/100,1
2435,John US Productions,5.8/10,27%,4/100,1
2436,Contagious Entertainment,7.6/10,73%,68/100,1
2437,Stanhaven Productions,6.9/10,43%,52/100,1
2438,Estudios Picasso,8.2/10,95%,98/100,1
2439,Tequila Gang,8.2/10,95%,98/100,1
2440,Sententia Entertainment,8.2/10,95%,98/100,1
2441,Hoytyboy Pictures,5.3/10,20%,47/100,1
2442,Sir Zip Productions,5.3/10,20%,47/100,1
2443,Hit and Run Productions,7.9/10,92%,84/100,1
2444,Zeta Film,7.5/10,69%,69/100,1
2445,Central Films,7.5/10,69%,69/100,1
2446,Mutual Film Company,6.3/10,51%,54/100,5
2447,DNA Productions,6.0/10,69%,62/100,2
2448,Northmen Productions,7.2/10,85%,7/100,1
2449,Room 9 Entertainment,7.6/10,86%,7/100,1
2450,ContentFilm,7.3/10,82%,38/100,2
2451,British Lion Films,3.7/10,N/A%,36/100,1
2452,Sandstorm Films,5.3/10,4%,9/100,1
2453,Stay Alive Productions,5.0/10,9%,24/100,1
2454,Signature Pictures,5.6/10,32%,49/100,1
2455,Ascendant Pictures,7.7/10,61%,58/100,2
2456,The Complex Studio,7.8/10,N/A%,53/100,1
2457,FilmEngine,6.0/10,28%,31/100,4
2458,VIP 4,7.8/10,N/A%,53/100,1
2459,Zucker-Netter Productions,6.2/10,54%,57/100,1
2460,Twentieth Century Fox Film Corporation,6.2/10,54%,57/100,1
2461,Broken Lizard,6.3/10,41%,46/100,1
2462,2929 Entertainment,6.6/10,56%,37/100,6
2463,Starbucks Entertainment,7.4/10,84%,72/100,1
2464,Out of the Blue Entertainment,7.4/10,84%,72/100,1
2465,Reactor Films,7.4/10,84%,72/100,1
2466,Cinema Gypsy Productions[a],7.4/10,84%,72/100,1
2467,(Marine Productions),4.7/10,20%,45/100,1
2468,Pacific Film and Television Commission,4.7/10,20%,45/100,1
2469,Storefront Pictures,5.3/10,51%,5/100,1
2470,Ultravi Productions,4.4/10,9%,8/100,1
2471,Silvercup Studios,5.4/10,14%,29/100,1
2472,"Unaccompanied Pictures, Inc.",5.0/10,30%,43/100,1
2473,Remstar Productions,5.0/10,12%,38/100,1
2474,MediaPro Studios,5.0/10,12%,38/100,1
2475,Adelstein-Parouse Productions,4.6/10,N/A%,22/100,1
2476,Hoban Segal Productions,4.6/10,N/A%,22/100,1
2477,Pricel,4.6/10,31%,44/100,2
2478,Parallel Entertainment Pictures,3.2/10,5%,2/100,1
2479,Apipoulaï,6.0/10,21%,39/100,1
2480,Avalanche Productions,6.0/10,21%,39/100,1
2481,Don Nafia,6.0/10,21%,39/100,1
2482,(Eye Scream Productions),5.0/10,8%,7/100,1
2483,Scott Free,6.6/10,N/A%,N/A/100,1
2484,Uncredited:,6.6/10,N/A%,N/A/100,1
2485,Franchise Pictures,5.5/10,31%,25/100,17
2486,IDT Entertainment,5.8/10,41%,5/100,1
2487,Back Lot Pictures,6.5/10,68%,62/100,1
2488,Gener8Xion Entertainment,6.3/10,19%,38/100,1
2489,Forensic Films,6.2/10,47%,55/100,1
2490,Todd Team Productions,4.3/10,3%,26/100,1
2491,Patriot Pictures,3.9/10,4%,7/100,1
2492,Milton Kim Productions,3.9/10,4%,7/100,1
2493,Phoenix Wiley,6.7/10,40%,48/100,1
2494,Jelly Roll Productions,6.7/10,40%,48/100,1
2495,Caramel Entertainment,6.7/10,13%,38/100,1
2496,Kendrick Brothers Group,6.7/10,13%,38/100,1
2497,"Foy, Inc.",7.3/10,52%,5/100,1
2498,The Colleton Company,7.5/10,74%,69/100,1
2499,Dragon Studios,7.5/10,74%,69/100,1
2500,Warner China Film HG,7.5/10,74%,69/100,1
2501,IFC Films,5.9/10,40%,5/100,1
2502,Action Synthese,2.8/10,8%,23/100,1
2503,Les Films Action,2.8/10,8%,23/100,1
2504,SPZ Entertainment,2.8/10,8%,23/100,1
2505,bolexbrothers,2.8/10,8%,23/100,1
2506,limited,2.8/10,8%,23/100,1
2507,Sneak Preview Entertainment,3.0/10,23%,36/100,1
2508,Media 8 Entertainment,7.2/10,58%,34/100,2
2509,Edko Film,7.0/10,66%,7/100,1
2510,C2,4.3/10,7%,26/100,1
2511,Intermedia,6.3/10,62%,57/100,7
2512,Bona Fide,7.5/10,80%,75/100,1
2513,Standard Film Company,7.5/10,80%,75/100,1
2514,TPS,7.3/10,70%,7/100,1
2515,Carsey-Werner Films,6.0/10,12%,27/100,1
2516,Odeon Films,7.3/10,57%,38/100,1
2517,Cavu Pictures,7.3/10,57%,38/100,1
2518,Showcase Original Movie,7.3/10,57%,38/100,1
2519,Topsail Entertainment,7.3/10,57%,38/100,1
2520,Trailer Park Productions,7.3/10,57%,38/100,1
2521,Bauer Martinez Entertainment,6.9/10,48%,56/100,1
2522,Mr. Mudd Productions,6.3/10,36%,54/100,1
2523,David Hamilton Productions,7.8/10,91%,77/100,1
2524,Grosvernor Park Media,7.0/10,66%,57/100,1
2525,The UK Film & TV Production Company PLC,7.3/10,82%,7/100,1
2526,Industrial Development Corporation of South Africa,7.3/10,82%,7/100,1
2527,The National Film and Video Foundation of SA,7.3/10,82%,7/100,1
2528,Moviworld,7.3/10,82%,7/100,1
2529,Tsotsi Films,7.3/10,82%,7/100,1
2530,CineSon,6.7/10,25%,47/100,1
2531,Boll KG Productions,2.9/10,4%,8/100,1
2532,Event Films,2.9/10,4%,8/100,1
2533,Herold Productions,2.6/10,2%,8/100,2
2534,Pitchblack Pictures,2.9/10,4%,8/100,1
2535,Romar Entertainment,2.9/10,4%,8/100,1
2536,Castelao Productions,7.6/10,68%,31/100,2
2537,Neff Productions,7.5/10,58%,56/100,1
2538,VIP Medienfunds 4,7.5/10,58%,56/100,1
2539,Rakeysh Omprakash Mehra Pictures,8.3/10,N/A%,N/A/100,1
2540,Bergman Lustig Productions,7.4/10,79%,72/100,1
2541,Q Television,6.5/10,67%,64/100,1
2542,Reprise Records,7.8/10,90%,85/100,1
2543,Kitchen Sink Entertainment,N/A/10,N/A%,N/A/100,1
2544,Azure Films,6.8/10,56%,53/100,1
2545,Tusk Productions,6.8/10,56%,53/100,1
2546,EM Media,6.8/10,90%,8/100,1
2547,East Midlands Media Initiative,6.8/10,90%,8/100,1
2548,Shemaroo Entertainment,8.0/10,N/A%,N/A/100,1
2549,Arclight Films,7.0/10,73%,68/100,1
2550,DEJ Productions,7.5/10,50%,36/100,2
2551,Sundance Channel,6.9/10,69%,68/100,1
2552,Horse Pictures,6.9/10,69%,68/100,1
2553,Vulcan Productions,7.2/10,78%,71/100,2
2554,Patalex IV Productions,7.7/10,88%,8/100,1
2555,Patalex III Productions,8.3/10,84%,7/100,1
2556,PDI/DreamWorks,7.3/10,77%,72/100,3
2557,Walt Disney Feature Animation,6.8/10,61%,41/100,7
2558,JC 23 Entertainment,6.0/10,29%,47/100,1
2559,Bonne Pioche,7.6/10,94%,79/100,1
2560,Tall Trees,5.4/10,31%,35/100,3
2561,Kanzaman Productions,6.0/10,38%,4/100,1
2562,Parkway Productions,8.0/10,80%,69/100,1
2563,Harris Company,7.8/10,74%,69/100,1
2564,ApolloProScreen Productions,7.8/10,74%,69/100,1
2565,Bull's Eye Entertainment,7.2/10,72%,69/100,2
2566,Desilu,7.2/10,50%,N/A/100,1
2567,-Walden Productions,7.2/10,50%,N/A/100,1
2568,Fortis Films,5.7/10,31%,40/100,4
2569,Alliance Atlantis,6.9/10,68%,58/100,5
2570,Inside Track,7.2/10,39%,63/100,1
2571,Studio Babelsberg Motion Pictures GmbH,7.2/10,39%,63/100,1
2572,Rose & Ruby,4.2/10,13%,32/100,1
2573,Senator International,5.6/10,34%,44/100,2
2574,Pacific Renaissance Pictures Ltd.,4.2/10,13%,32/100,1
2575,Ubu Productions,5.9/10,35%,46/100,1
2576,MGM,7.4/10,100%,N/A/100,1
2577,Parkes/MacDonald,6.4/10,34%,24/100,2
2578,G-Unit Films,5.2/10,16%,45/100,1
2579,Interscope/Shady/Aftermath Films,5.2/10,16%,45/100,1
2580,Debra Hill Productions,3.6/10,4%,27/100,1
2581,Tribeca Productions,6.8/10,56%,43/100,3
2582,A-Line Pictures,7.4/10,90%,88/100,1
2583,Cooper's Town Productions,7.4/10,90%,88/100,1
2584,Infinity Media,7.4/10,90%,88/100,1
2585,Eagle Vision,7.4/10,90%,88/100,1
2586,Horseshoe Bay Productions,5.0/10,27%,38/100,2
2587,Bridget Johnson Films,6.0/10,52%,55/100,1
2588,On The Ice Productions,6.0/10,52%,55/100,1
2589,Entertainment Manufacturing Company,7.6/10,61%,62/100,1
2590,Jada Productions,7.7/10,76%,72/100,1
2591,Out of the Blue... Entertainment,4.6/10,9%,23/100,1
2592,Industry Entertainment,7.1/10,62%,36/100,4
2593,Walt Disney Animation Japan,6.3/10,70%,58/100,2
2594,Heffalump Pictures,6.4/10,79%,64/100,1
2595,Beijing Film Studio,7.8/10,90%,78/100,1
2596,Cinelamda,6.9/10,53%,53/100,1
2597,Gang of Seven Animation[non-primary source needed],2.2/10,6%,2/100,1
2598,South Australian Film Corporation,6.3/10,53%,54/100,1
2599,403 Productions,6.3/10,53%,54/100,1
2600,True Crime Channel,6.3/10,53%,54/100,1
2601,Mushroom Pictures,6.3/10,53%,54/100,1
2602,Wisenheimer Films,6.8/10,31%,3/100,1
2603,LIFT Productions,6.8/10,31%,3/100,1
2604,Cinerenta,5.0/10,11%,3/100,1
2605,Five Roses,7.2/10,87%,79/100,1
2606,Bac Films,7.2/10,87%,79/100,1
2607,First Foot Films,6.7/10,62%,69/100,1
2608,Sarah Green Film,6.7/10,62%,69/100,1
2609,Sunflower Productions,6.7/10,62%,69/100,1
2610,Art Linson Productions,7.0/10,55%,56/100,1
2611,Indelible Pictures,6.9/10,65%,60/100,2
2612,Pathé Pictures,7.0/10,78%,40/100,2
2613,Future Films,7.0/10,74%,42/100,2
2614,J&C Entertainment,2.7/10,14%,3/100,1
2615,Ush Entertainment,2.7/10,14%,3/100,1
2616,Metropolitan Filmexport,6.0/10,N/A%,36/100,1
2617,Hypnotic,6.9/10,52%,54/100,2
2618,Just One Production,7.5/10,84%,7/100,1
2619,Sony Pictures Releasing International,7.4/10,92%,82/100,1
2620,Destination Films,6.2/10,66%,52/100,3
2621,Mighty Cheese Productions,6.4/10,N/A%,72/100,1
2622,Boll KG Entertainment,2.3/10,1%,9/100,1
2623,Infogrames Entertainment,2.3/10,1%,9/100,1
2624,Tanlay Productions,7.8/10,82%,68/100,1
2625,Cameo FJ Entertainment,7.8/10,82%,68/100,1
2626,Baa-ram-ewe,7.2/10,86%,69/100,1
2627,Avenue Pictures,6.4/10,25%,33/100,1
2628,HDNet Films,7.7/10,97%,N/A/100,1
2629,Alexandre Films,6.8/10,40%,42/100,1
2630,Discovery Docs,7.8/10,92%,87/100,1
2631,Real Big Production,7.8/10,92%,87/100,1
2632,Tag Entertainment,4.0/10,5%,26/100,1
2633,Crusader Entertainment,5.5/10,14%,31/100,2
2634,Forge,4.2/10,6%,24/100,1
2635,QI Quality International,5.4/10,35%,15/100,2
2636,Claremont Films,7.6/10,70%,67/100,1
2637,B7 Productions,7.6/10,70%,67/100,1
2638,Vega Film,7.9/10,69%,56/100,1
2639,Banque Populaire Images 4,7.9/10,69%,56/100,1
2640,CP Medien AG,7.9/10,69%,56/100,1
2641,Centre National de la Cinématographie (CNC),7.9/10,69%,56/100,1
2642,Dan Valley Film AG,7.9/10,69%,56/100,1
2643,Novo Arturo Films,7.9/10,69%,56/100,1
2644,Procirep,7.9/10,69%,56/100,1
2645,A&E IndieFilms,7.8/10,98%,87/100,1
2646,This Is That Cinema Go-Go,6.6/10,71%,69/100,1
2647,Showtime,6.8/10,72%,70/100,2
2648,Visual Entertainment,6.5/10,64%,63/100,1
2649,Cinejota,4.2/10,8%,29/100,1
2650,Mark Gordon Company,6.4/10,44%,47/100,1
2651,Golden Mean Productions,6.6/10,55%,6/100,1
2652,Overbrook Films,6.4/10,46%,52/100,3
2653,Mediastream IV,7.0/10,N/A%,59/100,1
2654,Shepperton Studios,7.2/10,54%,56/100,1
2655,", England, UK",7.2/10,54%,56/100,1
2656,Fellowship Adventure Group,7.5/10,83%,67/100,1
2657,Appian Way,7.5/10,87%,77/100,1
2658,Edge City,7.5/10,86%,7/100,1
2659,ShondaLand,5.8/10,25%,43/100,1
2660,M.G. Films,7.0/10,83%,66/100,1
2661,Michael London Productions,7.5/10,96%,94/100,1
2662,Gone North Productions,5.5/10,15%,4/100,1
2663,Carey Silver Productions,6.7/10,46%,54/100,1
2664,DeLine Pictures,5.2/10,26%,42/100,1
2665,Laurel Group Inc.,7.3/10,76%,59/100,1
2666,Katalyst,7.7/10,33%,3/100,1
2667,Evolution Entertainment,7.3/10,36%,24/100,2
2668,CFCC,7.9/10,N/A%,85/100,1
2669,Elite Group Enterprises,7.8/10,88%,87/100,2
2670,Zhang Yimou Studio,7.8/10,88%,87/100,2
2671,Beijing New Picture Film,7.9/10,N/A%,85/100,1
2672,Amen Ra Films,6.3/10,41%,45/100,2
2673,Imaginary Forces,6.3/10,41%,45/100,2
2674,Shawn Danielle Productions Ltd.,5.9/10,25%,38/100,1
2675,World 2000 Entertainment,6.3/10,31%,46/100,1
2676,Green Hills Productions,6.3/10,31%,46/100,1
2677,Gaylord Films,6.4/10,27%,36/100,3
2678,Clifford Werber Productions,5.9/10,11%,25/100,1
2679,Joel Schumacher Productions,7.3/10,33%,4/100,1
2680,Really Useful Films,7.3/10,33%,4/100,1
2681,Burke/Samples/Foster Productions,6.2/10,26%,44/100,1
2682,Napoleon Pictures,6.9/10,71%,64/100,1
2683,Access Films,6.9/10,71%,64/100,1
2684,Little Bird Limited,6.0/10,26%,44/100,1
2685,Filmauro,6.0/10,71%,64/100,1
2686,Brooklyn Films,6.0/10,71%,64/100,1
2687,Natural Nylon,6.5/10,75%,36/100,2
2688,ARP,7.0/10,N/A%,N/A/100,1
2689,TF1 Films Productions,7.0/10,N/A%,N/A/100,1
2690,Le Studio Canal+,6.6/10,53%,57/100,2
2691,Cofimage 9,7.0/10,N/A%,N/A/100,1
2692,Studio Image 4,7.0/10,N/A%,N/A/100,1
2693,This is That,8.3/10,93%,89/100,1
2694,Pacific Film,5.6/10,16%,39/100,1
2695,Egmond Film & Television,5.6/10,16%,39/100,1
2696,IMF Internationale Medien und Film GmbH & Co. 3 Produktions KG,5.6/10,16%,39/100,1
2697,Braniff Productions,7.2/10,77%,64/100,1
2698,Middle Fork Productions,4.6/10,25%,4/100,1
2699,Lions Gate Films,6.3/10,58%,39/100,3
2700,Plunge Pictures,5.7/10,72%,63/100,1
2701,Eastgate Pictures,5.7/10,72%,63/100,1
2702,Camelot Pictures,7.5/10,86%,67/100,1
2703,Double Features Films,7.5/10,86%,67/100,1
2704,Kopelson Entertainment,5.7/10,22%,35/100,3
2705,Spanknyce Films,5.8/10,31%,49/100,1
2706,Mostow/Lieberman Productions,5.8/10,31%,49/100,1
2707,Splendid Pictures,5.6/10,45%,14/100,3
2708,Dylan Sellers Productions,4.8/10,26%,18/100,2
2709,Blessington Film Productions,6.3/10,50%,53/100,1
2710,Jane Startz Productions,6.3/10,50%,53/100,1
2711,Fantastic Factory,5.4/10,4%,5/100,1
2712,Mobius Pictures,5.9/10,17%,38/100,1
2713,Intermedia Productions,5.9/10,17%,38/100,1
2714,Initial Entertainment Group (IEG),5.9/10,17%,38/100,1
2715,Brillstein-Grey Entertainment,5.3/10,18%,16/100,4
2716,Immortal Entertainment,4.5/10,4%,23/100,1
2717,La Sienega Productions,4.9/10,32%,46/100,1
2718,David Kirschner Productions,6.3/10,52%,53/100,3
2719,Lucy Fisher/Douglas Wick Productions,5.6/10,52%,52/100,1
2720,FilmFour,7.2/10,75%,48/100,5
2721,BD Cine,7.8/10,84%,75/100,1
2722,Daybreak,6.7/10,56%,47/100,1
2723,Boz Productions,4.4/10,18%,33/100,1
2724,Turbo Productions,4.4/10,18%,33/100,1
2725,Artisan Entertainment,6.3/10,36%,44/100,2
2726,Havana Nights LLC,6.0/10,23%,39/100,1
2727,Dualstar Entertainment,4.9/10,11%,33/100,1
2728,C.O.R.E. Digital Pictures,4.9/10,11%,33/100,1
2729,Baltimore/Spring Creek Pictures,4.8/10,8%,3/100,1
2730,Winkler Films,6.6/10,48%,53/100,1
2731,LivePlanet,6.3/10,47%,44/100,5
2732,The Con,7.2/10,N/A%,73/100,1
2733,Edko Films,7.8/10,92%,91/100,2
2734,Beijing New Picture Films,7.6/10,88%,89/100,1
2735,Tollin/Robbins,5.4/10,22%,24/100,3
2736,Landscape Entertainment,5.3/10,15%,33/100,1
2737,Weinstock Productions,5.3/10,15%,33/100,1
2738,Cort/Madden Productions,5.8/10,12%,44/100,2
2739,Blue Ridge Motion Pictures,5.9/10,43%,6/100,1
2740,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,5.9/10,43%,6/100,1
2741,Canal+ Española,7.5/10,87%,8/100,1
2742,FilmFour Productions,8.0/10,94%,82/100,1
2743,Mulberry Square Productions,4.6/10,33%,49/100,1
2744,Big Red Dog Productions,5.5/10,53%,49/100,1
2745,Warner Bros. Family Entertainment (uncredited),5.5/10,53%,49/100,1
2746,McDongall Films,6.7/10,26%,45/100,1
2747,Peninsula Films,7.2/10,61%,62/100,1
2748,LJ Film,8.0/10,94%,85/100,1
2749,Front Street Pictures,6.3/10,65%,66/100,1
2750,Big Picture Media Corporation,8.0/10,90%,73/100,1
2751,Mongolkina,7.5/10,94%,8/100,1
2752,Alquimia Cinema,7.5/10,90%,73/100,1
2753,Cattleya,7.3/10,80%,73/100,2
2754,Colorado Film Production,7.5/10,90%,73/100,1
2755,The Producers Films,7.5/10,90%,73/100,1
2756,Dash Films,7.2/10,88%,72/100,1
2757,Lee Daniels Entertainment,7.1/10,86%,70/100,2
2758,Filmek AB,8.0/10,70%,6/100,1
2759,Zoma Films UK,8.0/10,70%,6/100,1
2760,City Lights Pictures,5.0/10,N/A%,56/100,1
2761,Barmak Film,7.4/10,96%,83/100,1
2762,NHK,7.4/10,96%,83/100,1
2763,Swipe Films,7.4/10,96%,83/100,1
2764,Ashutosh Gowariker Productions,8.3/10,83%,N/A/100,1
2765,Apollo Films,7.6/10,96%,85/100,1
2766,PeachTree Films,7.6/10,96%,85/100,1
2767,Ergo Entertainment,7.4/10,72%,64/100,1
2768,The Johnson Group,7.4/10,72%,64/100,1
2769,ICAA ICF,7.7/10,77%,6/100,1
2770,Production I.G.,7.6/10,64%,66/100,1
2771,Anarchist's Convention Films,6.5/10,64%,58/100,2
2772,NPV Entertainment,6.4/10,47%,41/100,11
2773,Shady Acres,6.7/10,49%,46/100,1
2774,Pit Bull Productions,6.7/10,49%,46/100,1
2775,C2 Pictures,6.3/10,70%,66/100,1
2776,Simpson/Bruckheimer,6.6/10,23%,38/100,1
2777,Good Machine,7.0/10,82%,54/100,7
2778,Mikona Productions GmbH & Co. KG,5.9/10,36%,38/100,1
2779,The Bedford Falls Company,7.7/10,50%,42/100,2
2780,Oakhurst Productions,7.0/10,73%,68/100,1
2781,Castel Film Romania,7.2/10,71%,73/100,1
2782,Vortex,6.2/10,37%,38/100,1
2783,Chicago Pacific Entertainment,7.0/10,78%,7/100,1
2784,Warner Bros. Family Entertainment,4.4/10,N/A%,6/100,1
2785,International Production Company,5.8/10,17%,3/100,1
2786,JD Productions,5.8/10,17%,3/100,1
2787,Tele München Gruppe,5.5/10,25%,43/100,1
2788,Toho-Towa,5.3/10,36%,40/100,3
2789,Eidos Interactive,5.7/10,22%,38/100,2
2790,Red Om Films Productions,6.5/10,34%,45/100,1
2791,Birnbaum / Barber Productions,6.2/10,66%,58/100,1
2792,Jackie Chan Films Limited,6.4/10,72%,68/100,2
2793,All Knight Productions,6.2/10,66%,58/100,1
2794,Tryptich Pictures,7.0/10,78%,7/100,1
2795,Lion Rock Entertainment,6.3/10,27%,43/100,1
2796,Konrad Pictures,6.4/10,49%,60/100,2
2797,Walt Disney Productions,7.4/10,88%,N/A/100,2
2798,DisneyToon Studios Australia,5.4/10,19%,38/100,1
2799,Zucker/Netter Productions,7.0/10,71%,56/100,1
2800,Elemental Films,7.8/10,95%,89/100,1
2801,Stan Rogow Productions,5.4/10,41%,56/100,1
2802,Klasky Csupo,5.8/10,58%,50/100,2
2803,Jim Henson Pictures,5.0/10,44%,49/100,1
2804,Alphaville,6.3/10,75%,7/100,1
2805,K/W Productions,7.3/10,81%,74/100,1
2806,Kasdan Pictures,5.5/10,30%,35/100,1
2807,WV Films II,5.5/10,30%,35/100,1
2808,Distant Corners,5.0/10,10%,23/100,1
2809,British Screen,6.7/10,85%,66/100,1
2810,British Sky Broadcasting,6.7/10,85%,66/100,1
