ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
529,Kelly Reichardt,6.4/10,92%,82/100,1
530,Dharmendra Suresh Desai,7.0/10,33%,N/A/100,1
531,Jack Clayton,7.9/10,96%,N/A/100,1
532,John Carpenter,7.0/10,N/A%,N/A/100,1
533,John H. Lee,6.2/10,33%,5/100,1
534,J.J. Abrams,7.5/10,85%,60/100,5
535,Joss Whedon,7.7/10,79%,70/100,2
536,Pete Docter,8.2/10,97%,87/100,3
537, Ronnie Del Carmen,8.2/10,98%,94/100,1
538,Sam Mendes,7.3/10,72%,45/100,6
539,Christopher McQuarrie,7.0/10,68%,43/100,3
540,Elizabeth Banks,5.3/10,34%,36/100,2
541,Alejandro G. Iñárritu,7.7/10,77%,59/100,5
542,Peyton Reed,6.4/10,57%,52/100,5
543,Tim Johnson,6.7/10,56%,57/100,3
544,Genndy Tartakovsky,6.8/10,50%,46/100,2
545,Sam Taylor-Johnson,5.6/10,52%,56/100,2
546,Paul Tibbitt,6.0/10,80%,62/100,1
547, Mike Mitchell,6.0/10,80%,62/100,1
548,George Miller,6.8/10,73%,30/100,3
549,Steve Martino,6.8/10,62%,58/100,2
550,Peter Sohn,6.7/10,76%,66/100,1
551,Judd Apatow,6.5/10,76%,60/100,5
552,Brad Bird,7.5/10,80%,46/100,4
553,Etan Cohen,6.0/10,29%,34/100,1
554,Alan Taylor,6.8/10,46%,46/100,2
555,Olivier Megaton,6.2/10,25%,30/100,4
556,Jason Moore,6.6/10,70%,62/100,2
557,Walt Becker,5.4/10,11%,23/100,3
558,Seth MacFarlane,6.4/10,49%,51/100,3
559,Rob Letterman,5.7/10,44%,29/100,3
560,Chris Columbus,6.5/10,48%,48/100,6
561,Nancy Meyers,6.7/10,58%,45/100,5
562,Andy Fickman,5.8/10,26%,35/100,6
563,Adam McKay,6.9/10,72%,35/100,6
564,Alex Kendrick,6.7/10,29%,34/100,4
565,Gregory Jacobs,5.6/10,65%,6/100,1
566,Jeremy Garelick,6.7/10,28%,35/100,1
567,David M. Rosenthal,5.6/10,19%,36/100,1
568,David O. Russell,7.2/10,79%,41/100,5
569,Quentin Tarantino,8.0/10,83%,64/100,7
570,Leigh Whannell,6.0/10,57%,52/100,1
571,Gil Kenan,6.0/10,53%,58/100,3
572,Lana Wachowski,6.5/10,51%,40/100,4
573, Lilly Wachowski,6.5/10,51%,40/100,4
574,Tom McCarthy,7.6/10,94%,64/100,4
575,Joel Edgerton,7.0/10,92%,77/100,2
576,Baltasar Kormákur,6.7/10,63%,41/100,3
577,Michael Dougherty,6.2/10,65%,49/100,1
578,Boaz Yakin,6.8/10,44%,46/100,4
579,Lee Toland Krieger,7.2/10,56%,5/100,1
580,John Crowley,6.8/10,69%,49/100,3
581,George Tillman Jr.,6.8/10,41%,35/100,4
582,Anne Fletcher,6.0/10,30%,30/100,5
583,Peter Landesman,7.0/10,60%,55/100,1
584,Ari Sandel,6.5/10,71%,56/100,1
585,Levan Gabriadze,5.6/10,63%,59/100,1
586,Doug Ellin,6.6/10,33%,38/100,1
587,Jake Schreier,6.7/10,72%,62/100,2
588,Neill Blomkamp,7.1/10,63%,6/100,3
589,Ken Kwapis,6.2/10,49%,30/100,5
590,Ericson Core,6.2/10,41%,48/100,2
591,Ciarán Foy,5.3/10,13%,32/100,1
592,Breck Eisner,6.2/10,42%,31/100,3
593,John Erick Dowdle,6.3/10,46%,43/100,4
594,Jonathan Demme,6.4/10,70%,70/100,5
595,Tom Harper,4.9/10,22%,42/100,1
596,Jessie Nelson,6.7/10,27%,16/100,2
597,David Gelb,6.6/10,99%,40/100,2
598,Travis Cluff,4.2/10,16%,3/100,1
599, Chris Lofing,4.2/10,16%,3/100,1
600,Aleksander Bach,5.7/10,9%,28/100,1
601,Mike Binder,7.0/10,60%,38/100,3
602,Cameron Crowe,6.7/10,49%,32/100,5
603,Mark Burton,7.4/10,99%,8/100,1
604, Richard Starzak,7.4/10,99%,8/100,1
605,Richard Glatzer,7.5/10,86%,72/100,1
606, Wash Westmoreland,7.5/10,86%,72/100,1
607,Gregory Plotkin,4.6/10,14%,3/100,1
608,Rick Famuyiwa,6.2/10,56%,56/100,3
609,Sergei Bodrov,6.4/10,48%,38/100,2
610,Mark Linfield,7.2/10,84%,64/100,2
611, Alastair Fothergill,7.4/10,82%,39/100,2
612,Camille Delamarre,5.5/10,21%,18/100,2
613,Lenny Abrahamson,8.2/10,94%,86/100,1
614,David Robert Mitchell,6.9/10,97%,83/100,1
615,Nima Nourizadeh,6.3/10,36%,26/100,2
616,John Wells,6.9/10,54%,56/100,3
617,Gary Rydstrom,5.8/10,17%,25/100,1
618,Steve Pink,6.0/10,46%,50/100,4
619,Tarsem Singh,6.5/10,42%,39/100,5
620,Thomas Vinterberg,7.0/10,85%,7/100,1
621,Tom Hooper,7.5/10,82%,77/100,2
622,Pierre Morel,6.8/10,48%,23/100,4
623,Ken Scott,5.9/10,24%,38/100,2
624,Nicholas Hytner,6.8/10,66%,44/100,3
625,Asif Kapadia,8.2/10,93%,82/100,2
626,Kabir Khan,8.0/10,100%,N/A/100,1
627,Tadayoshi Yamamuro,7.4/10,81%,N/A/100,1
628,Michael Mann,6.5/10,60%,30/100,5
629,Jay Roach,6.5/10,59%,34/100,6
630,David Koepp,6.3/10,55%,53/100,4
631,Noah Baumbach,6.7/10,76%,76/100,7
632,Paul Weitz,6.0/10,52%,52/100,8
633,Alfonso Gomez-Rejon,6.7/10,76%,60/100,2
634,Alejandro Monteverde,7.3/10,34%,25/100,2
635,Erik Van Looy,6.3/10,13%,24/100,1
636,Paul McGuigan,6.7/10,24%,32/100,4
637,Dan Fogelman,7.0/10,77%,58/100,1
638,Michael Polish,5.8/10,46%,49/100,3
639,Rupert Goold,6.3/10,43%,5/100,1
640,Sarah Gavron,6.8/10,70%,36/100,2
641,Sooraj R. Barjatya,4.3/10,44%,N/A/100,2
642,Andrew Haigh,7.0/10,97%,94/100,1
643,Russell Crowe,7.0/10,62%,5/100,1
644,Duke Johnson,7.2/10,91%,88/100,1
645, Charlie Kaufman,7.2/10,91%,88/100,1
646,Pedro Pablo Ibarra,6.2/10,50%,57/100,2
647,Max Joseph,6.2/10,39%,46/100,1
648,Jemaine Clement,7.6/10,96%,76/100,1
649, Taika Waititi,7.6/10,96%,76/100,1
650,Isabel Coixet,6.8/10,76%,64/100,3
651,Dustin Stratton,N/A/10,N/A%,N/A/100,1
652,Damián Szifron,8.0/10,95%,77/100,1
653,Zoya Akhtar,7.4/10,86%,N/A/100,2
654,Joe Menendez,5.8/10,63%,6/100,2
655,Anand L. Rai,7.7/10,N/A%,N/A/100,1
656,Barry Levinson,5.8/10,25%,19/100,4
657,Paolo Sorrentino,7.5/10,82%,75/100,2
658,Davis Guggenheim,6.9/10,70%,25/100,6
659,Spike Lee,6.7/10,69%,56/100,6
660,Jerry Jameson,5.4/10,26%,36/100,1
661,James Vanderbilt,6.8/10,62%,66/100,1
662,Jimmy Chin,7.7/10,90%,77/100,1
663, Elizabeth Chai Vasarhelyi,7.7/10,90%,77/100,1
664,Bernie Olaf,9.3/10,N/A%,N/A/100,1
665,Angelo Pizzo,7.2/10,32%,34/100,1
666,Daniel Barnz,6.1/10,34%,32/100,3
667,Rik Swartzwelder,5.3/10,19%,29/100,1
668,Dong-hoon Choi,7.3/10,82%,64/100,1
669,Brian Helgeland,6.7/10,52%,44/100,4
670,James Kent,7.3/10,83%,76/100,1
671,Shoojit Sircar,7.6/10,92%,N/A/100,1
672,Mark Neveldine,5.7/10,37%,32/100,5
673,László Nemes,7.5/10,96%,89/100,1
674,Geeta Patel,7.2/10,86%,7/100,1
675, Ravi Patel,7.2/10,86%,7/100,1
676,William Riead,5.9/10,28%,25/100,1
677,Marielle Heller,6.9/10,94%,87/100,1
678,S. Shankar,7.4/10,50%,N/A/100,1
679,Maya Forbes,7.0/10,81%,64/100,1
680,Hu Guan,7.0/10,N/A%,57/100,1
681,Ramin Bahrani,7.0/10,92%,76/100,1
682,Anees Bazmee,5.0/10,43%,N/A/100,2
683,T.C. Christensen,5.0/10,N/A%,N/A/100,1
684,Juliano Ribeiro Salgado,8.4/10,95%,83/100,1
685, Wim Wenders,8.4/10,95%,83/100,1
686,Richard Karpala,7.5/10,98%,N/A/100,1
687,Zheng Xu,5.5/10,60%,N/A/100,1
688,Crystal Moselle,7.0/10,85%,75/100,1
689,Da-Mo Peng,6.8/10,N/A%,N/A/100,1
690, Fei Yan,6.8/10,N/A%,N/A/100,1
691,Yann Demange,7.2/10,95%,83/100,1
692,Wuershan,6.0/10,56%,48/100,1
693,Chad Burns,5.0/10,17%,N/A/100,1
694,Severin Fiala,6.7/10,86%,8/100,1
695, Veronika Franz,6.7/10,86%,8/100,1
696,Kevin Macdonald,7.2/10,80%,70/100,6
697,Catherine Hardwicke,6.3/10,50%,43/100,6
698,Chris Dowling,6.6/10,N/A%,4/100,1
699,Patrick Brice,6.0/10,82%,65/100,1
700,Abderrahmane Sissako,7.2/10,99%,92/100,1
701,Frédéric Tcheng,7.4/10,88%,38/100,2
702,Richard Loncraine,6.2/10,48%,55/100,4
703,Adriana Trigiani,5.6/10,N/A%,39/100,1
704,Carey Scott,3.4/10,10%,2/100,1
705,Phil Lord,7.2/10,88%,56/100,4
706, Christopher Miller,7.2/10,88%,56/100,4
707,Peter Jackson,7.9/10,74%,63/100,8
708,Robert Stromberg,7.0/10,50%,56/100,1
709,Don Hall,7.5/10,92%,52/100,3
710,Jonathan Liebesman,5.7/10,21%,21/100,5
711,Dean DeBlois,7.7/10,92%,74/100,3
712,David Fincher,7.7/10,85%,48/100,7
713,Neil Burger,7.2/10,61%,58/100,3
714,Rob Marshall,6.6/10,52%,60/100,5
715,Josh Boone,7.8/10,80%,69/100,1
716,Angelina Jolie,7.2/10,51%,59/100,1
717,Shawn Levy,6.1/10,43%,44/100,11
718,Rob Minkoff,5.9/10,60%,54/100,4
719,Noam Murro,6.2/10,46%,52/100,2
720,Randall Wallace,6.7/10,58%,39/100,3
721,Bobby Farrelly,5.8/10,45%,51/100,8
722, Peter Farrelly,5.6/10,40%,46/100,9
723,Nick Cassavetes,7.0/10,41%,31/100,5
724,Eric Darnell,6.8/10,68%,30/100,4
725, Simon J. Smith,6.7/10,73%,53/100,1
726,Luke Greenfield,6.0/10,30%,32/100,4
727,Brett Ratner,6.3/10,43%,40/100,10
728,Peter Lepeniotis,5.8/10,11%,37/100,1
729,Christopher Spencer,5.7/10,21%,37/100,1
730,Roberts Gannaway,6.0/10,44%,48/100,1
731,Gary Shore,6.3/10,24%,4/100,1
732,Sam Miller,5.6/10,9%,26/100,1
733,Stiles White,4.5/10,6%,38/100,1
734,Graham Annable,6.8/10,75%,6/100,1
735, Anthony Stacchi,6.5/10,62%,28/100,2
736,R.J. Cutler,6.9/10,59%,58/100,2
737,Jorge R. Gutiérrez,7.3/10,82%,67/100,1
738,Steven Quale,5.8/10,42%,24/100,2
739,David Dobkin,6.5/10,47%,50/100,5
740,Frank Coraci,6.1/10,26%,21/100,5
741,Phillip Noyce,6.8/10,69%,53/100,5
742,Scott Waugh,6.5/10,24%,22/100,2
743,Chad Stahelski,7.3/10,86%,68/100,1
744, David Leitch,7.3/10,86%,68/100,1
745,Guy Bolongaro,4.8/10,92%,N/A/100,1
746,Charles Martin Smith,6.7/10,74%,61/100,2
747,James Marsh,7.8/10,89%,80/100,2
748,Rupert Wyatt,6.8/10,62%,62/100,2
749,McG,6.5/10,53%,39/100,22
750,Thomas Carter,6.7/10,42%,38/100,3
751,Ivan Reitman,6.0/10,48%,17/100,4
752,Michael Hoffman,6.9/10,43%,51/100,3
753,Scott Frank,6.8/10,76%,65/100,2
754,Tom Gormican,6.2/10,22%,36/100,1
755,Chris Rock,5.8/10,58%,34/100,3
756,Roger Donaldson,7.1/10,64%,60/100,5
757,Shana Feste,6.3/10,19%,24/100,2
758,Wally Pfister,6.3/10,20%,42/100,1
759,Stuart Beattie,5.0/10,4%,3/100,1
760,Renny Harlin,5.2/10,14%,22/100,6
761,Alastair Fothergill,7.4/10,82%,51/100,4
762, Keith Scholey,7.4/10,89%,68/100,1
763, Adam Chapman,7.4/10,89%,68/100,1
764,Anton Corbijn,6.5/10,76%,40/100,2
765,Matt Bettinelli-Olpin,4.0/10,17%,34/100,1
766, Tyler Gillett,4.0/10,17%,34/100,1
767,Gina Prince-Bythewood,7.1/10,71%,65/100,2
768,Vic Armstrong,3.0/10,1%,2/100,2
769,Jason Reitman,7.1/10,77%,31/100,5
770,Akiva Goldsman,6.2/10,13%,3/100,1
771,Bennett Miller,7.3/10,91%,61/100,3
772,Michaël R. Roskam,7.0/10,89%,69/100,1
773,Lou Lombardo,5.2/10,N/A%,N/A/100,1
774,John Pogue,5.0/10,37%,4/100,1
775,Will Finn,5.5/10,35%,15/100,2
776, Dan St. Pierre,5.7/10,28%,15/100,2
777,Jason Bateman,6.7/10,65%,57/100,1
778,Sebastian del Amo,6.6/10,45%,44/100,1
779,Evan Goldberg,6.6/10,66%,60/100,2
780, Seth Rogen,6.6/10,66%,60/100,2
781,Blair Treu,7.0/10,18%,29/100,1
782,J.C. Chandor,7.0/10,91%,81/100,3
783,Diego Luna,6.4/10,39%,5/100,1
784,Craig Johnson,6.8/10,87%,74/100,1
785,Hayao Miyazaki,8.1/10,91%,68/100,4
786,Joon-ho Bong,7.0/10,95%,84/100,1
787,Justin Simien,6.2/10,91%,79/100,1
788,Israel Horovitz,6.4/10,60%,52/100,1
789,Mike Leigh,7.2/10,93%,67/100,4
790,Pawel Pawlikowski,7.1/10,92%,46/100,2
791,John Turturro,6.2/10,53%,58/100,1
792,John Michael McDonagh,7.3/10,92%,78/100,2
793,Xavier Dolan,8.0/10,89%,74/100,1
794,Madlena Preston,N/A/10,72%,N/A/100,1
795,Don McKellar,7.0/10,60%,57/100,1
796,Rob Thomas,6.8/10,79%,62/100,1
797,Rowan Joffe,6.3/10,36%,4/100,1
798,Jon Stewart,6.6/10,77%,67/100,1
799,Gillian Robespierre,6.8/10,90%,76/100,1
800,Dustin Marcellino,5.0/10,6%,25/100,1
801,Manny Rodriguez,7.2/10,53%,56/100,1
802, Jay Lavender,7.2/10,53%,56/100,1
803,Laura Poitras,8.0/10,96%,88/100,1
804,Grégory Levasseur,4.6/10,13%,24/100,1
805,Philippe Falardeau,7.0/10,84%,66/100,2
806,Gareth Evans,7.8/10,82%,40/100,2
807,Masahiro Hosoda,7.2/10,N/A%,N/A/100,1
808,Siddharth Anand,5.8/10,52%,N/A/100,2
809,Sajid Nadiadwala,5.4/10,60%,N/A/100,1
810,Tommy Lee Jones,6.6/10,81%,68/100,1
811,JK Youn,7.8/10,71%,N/A/100,1
812,Ira Sachs,6.5/10,74%,74/100,2
813,Abhishek Varman,6.9/10,N/A%,N/A/100,1
814,Fred Schepisi,6.4/10,50%,57/100,3
815,Christian Keller,6.5/10,100%,N/A/100,1
816,Kevin Smith,6.3/10,49%,33/100,7
817,Teller,7.8/10,90%,76/100,1
818,Daniel Lusko,3.6/10,0%,N/A/100,1
819,Paola di Florio,7.3/10,67%,54/100,1
820, Lisa Leeman,7.3/10,67%,54/100,1
821,Stephanie Soechtig,7.7/10,80%,7/100,1
822,John Maloof,7.7/10,95%,75/100,1
823, Charlie Siskel,7.7/10,95%,75/100,1
824,Matthew Warchus,7.8/10,92%,79/100,3
825,Jean-Pierre Dardenne,7.4/10,96%,88/100,2
826, Luc Dardenne,7.4/10,96%,88/100,2
827,Steven Knight,7.0/10,91%,8/100,1
828,Albert Maysles,7.9/10,100%,8/100,1
829, David Maysles,7.9/10,100%,8/100,1
830, Charlotte Zwerin,7.9/10,100%,8/100,1
831,Sohail Khan,5.3/10,22%,N/A/100,1
832,Tengiz Abuladze,8.4/10,67%,N/A/100,1
833,Casey La Scala,5.2/10,32%,20/100,2
834,David Michôd,6.8/10,80%,74/100,2
835,Mark Schmidt,6.2/10,46%,44/100,1
836,Andrey Zvyagintsev,7.8/10,99%,87/100,2
837,Atom Egoyan,6.3/10,45%,49/100,3
838,Lynn Shelton,6.6/10,74%,68/100,2
839,Jim Wilson,6.6/10,17%,37/100,1
840,Vishal Bhardwaj,7.9/10,91%,N/A/100,3
841,Paul Haggis,7.2/10,56%,56/100,4
842,Arseny Syuhin,N/A/10,51%,N/A/100,1
843,Richard Ramsey,6.0/10,31%,42/100,1
844,Chris Buck,7.1/10,84%,69/100,2
845, Jennifer Lee,7.5/10,90%,74/100,1
846,Pierre Coffin,7.0/10,68%,60/100,4
847, Chris Renaud,7.6/10,78%,67/100,2
848,Alfonso Cuarón,7.7/10,92%,82/100,4
849,Dan Scanlon,7.3/10,79%,65/100,1
850,Justin Lin,6.7/10,55%,44/100,5
851,Sam Raimi,6.7/10,79%,68/100,5
852,Marc Forster,7.2/10,66%,48/100,7
853,Kirk De Micco,5.8/10,53%,46/100,2
854, Chris Sanders,7.5/10,85%,67/100,3
855,Baz Luhrmann,7.2/10,60%,58/100,3
856,Dennis Dugan,5.5/10,14%,22/100,8
857,Cody Cameron,6.4/10,71%,59/100,1
858, Kris Pearn,6.4/10,71%,59/100,1
859,Lee Daniels,7.2/10,72%,66/100,1
860,Klay Hall,5.7/10,25%,39/100,1
861,Raja Gosnell,5.0/10,26%,24/100,6
862,Thor Freudenthal,5.8/10,47%,33/100,3
863,John Moore,5.7/10,25%,34/100,5
864,Jon Turteltaub,6.5/10,41%,45/100,4
865,Steve McQueen,7.6/10,87%,84/100,2
866,Jimmy Hayward,5.3/10,16%,36/100,2
867,Dean Parisot,6.3/10,36%,47/100,2
868,Ruben Fleischer,6.8/10,55%,42/100,3
869,Laurent Bouzereau,7.4/10,N/A%,N/A/100,1
870,Eugenio Derbez,7.6/10,55%,55/100,1
871,Ric Roman Waugh,6.5/10,57%,5/100,1
872,David Twohy,6.7/10,51%,50/100,4
873,Carl Rinsch,6.3/10,15%,28/100,1
874,Barry Cook,6.1/10,58%,53/100,2
875, Neil Nightingale,5.2/10,24%,37/100,1
876,Kimberly Peirce,6.2/10,57%,30/100,2
877,John Luessenhop,5.5/10,24%,45/100,2
878,Robert Schwentke,6.5/10,40%,33/100,4
879, David Zucker,3.5/10,4%,N/A/100,1
880,Harald Zwart,5.6/10,24%,30/100,4
881,Peter Segal,6.5/10,40%,47/100,5
882,Morgan Spurlock,5.6/10,63%,61/100,2
883,Andrew Niccol,6.5/10,29%,46/100,4
884,Spike Jonze,7.5/10,86%,33/100,3
885,Mikael Håfström,6.5/10,43%,39/100,4
886,Joseph Gordon-Levitt,6.6/10,80%,66/100,1
887,Don Scardino,5.9/10,37%,44/100,1
888,Justin Zackham,5.6/10,8%,28/100,1
889,Nat Faxon,7.4/10,85%,68/100,1
890, Jim Rash,7.4/10,85%,68/100,1
891,Brian Percival,7.6/10,46%,53/100,1
892,Gary Fleder,6.7/10,44%,28/100,5
893,Allen Hughes,6.6/10,42%,51/100,4
894,Richard LaGravenese,7.0/10,68%,55/100,4
895,Dustin Hoffman,6.8/10,80%,64/100,1
896,Nicole Holofcener,6.5/10,90%,75/100,3
897,Scott Stewart,5.7/10,25%,14/100,3
898,Guy Bauer,7.8/10,N/A%,N/A/100,1
899,Joshua Michael Stern,6.0/10,34%,46/100,2
900,Richard Curtis,7.6/10,64%,56/100,3
901,Ed Gass-Donnelly,4.0/10,16%,35/100,1
902,Harmony Korine,5.3/10,67%,63/100,1
903,Jee-woon Kim,6.4/10,60%,54/100,1
904,Courtney Solomon,4.4/10,8%,21/100,3
905,Walter Hill,5.6/10,35%,38/100,3
906,Benson Lee,5.0/10,6%,29/100,1
907, Steven Brill,4.3/10,4%,8/100,1
908, Steve Carr,4.3/10,4%,8/100,1
909, Rusty Cundieff,4.3/10,4%,8/100,1
910, James Duffy,4.3/10,4%,8/100,1
911, Griffin Dunne,4.3/10,4%,8/100,1
912, Patrik Forsberg,4.3/10,4%,8/100,1
913, Will Graham,4.3/10,4%,8/100,1
914, James Gunn,4.3/10,4%,8/100,1
915, Brett Ratner,5.3/10,20%,28/100,2
916, Jonathan van Tulleken,4.3/10,4%,8/100,1
917, Bob Odenkirk,4.3/10,4%,8/100,1
918,Vijay Krishna Acharya,5.4/10,80%,6/100,1
919,Bille August,6.9/10,80%,N/A/100,1
920,Robert Rodriguez,6.4/10,67%,40/100,7
921,Stephen Judson,6.7/10,100%,N/A/100,1
922, Greg MacGillivray,6.7/10,100%,N/A/100,1
923,Robert Luketic,6.0/10,29%,32/100,7
924,Kasi Lemmons,6.0/10,66%,58/100,2
925,Kar-Wai Wong,7.3/10,84%,79/100,3
926,Robert Tinnell,5.3/10,N/A%,N/A/100,1
927,Robert Redford,6.5/10,45%,52/100,4
928,Bob Francesconi,4.6/10,85%,N/A/100,1
929, David Stern,4.6/10,85%,N/A/100,1
930,Ayan Mukherjee,7.0/10,N/A%,N/A/100,1
931,Maggie Carey,5.8/10,53%,6/100,1
932,Nimród Antal,6.4/10,60%,18/100,4
933,Peter Webber,6.5/10,40%,52/100,3
934,Fisher Stevens,6.5/10,37%,4/100,1
935,Lake Bell,6.7/10,92%,79/100,1
936,David Boyd,6.0/10,45%,N/A/100,1
937,Youssef Delara,5.7/10,45%,57/100,1
938, Michael D. Olmos,5.7/10,45%,57/100,1
939,Brad J. Silverman,6.2/10,50%,39/100,1
940,Wayne Blair,7.0/10,91%,67/100,1
941,Dror Moreh,7.6/10,93%,9/100,1
942,Steve Race,4.5/10,6%,23/100,1
943,Aditya Datt,7.0/10,N/A%,N/A/100,1
944,Zal Batmanglij,6.8/10,74%,68/100,1
945,Gilles Bourdos,6.5/10,70%,64/100,1
946,John Stephenson,6.0/10,22%,33/100,1
947,Abdellatif Kechiche,7.8/10,90%,88/100,1
948,Rakesh Roshan,5.8/10,86%,68/100,2
949,Jerusha Hess,6.3/10,30%,42/100,1
950,Garrett Batty,5.6/10,60%,N/A/100,1
951,Richard Robbins,7.0/10,89%,59/100,1
952,Paul Andrew Williams,7.0/10,65%,57/100,1
953,Rakeysh Omprakash Mehra,8.3/10,87%,N/A/100,2
954,Susanne Bier,7.3/10,76%,53/100,4
955,Sarah Polley,7.3/10,88%,55/100,3
956,Abbas Alibhai Burmawalla,5.2/10,N/A%,N/A/100,1
957, Mastan Alibhai Burmawalla,5.2/10,N/A%,N/A/100,1
958,Carl Franklin,6.4/10,71%,59/100,3
959,Henry Alex Rubin,7.7/10,82%,76/100,2
960,Shari Springer Berman,6.5/10,58%,31/100,3
961, Robert Pulcini,6.5/10,58%,31/100,3
962,Michael Landon Jr.,6.0/10,18%,9/100,1
963,Ralph Fiennes,6.0/10,77%,75/100,1
964,Jacob Kornbluth,8.0/10,90%,68/100,1
965,Rob Zombie,6.1/10,41%,45/100,6
966,Brian Cass,7.7/10,23%,N/A/100,1
967,Michael McGowan,7.4/10,94%,72/100,1
968,Abhishek Kapoor,7.6/10,73%,4/100,1
969,Scott McGehee,6.6/10,70%,69/100,3
970, David Siegel,6.6/10,70%,69/100,3
971,Stuart Blumberg,6.4/10,50%,54/100,1
972,Todd Robinson,5.9/10,25%,4/100,1
973,John Krokidas,6.5/10,75%,65/100,1
974,Don Schain,3.3/10,N/A%,N/A/100,1
975,Gorô Miyazaki,7.5/10,84%,7/100,1
976,Mark Andrews,7.0/10,78%,69/100,1
977, Brenda Chapman,7.0/10,78%,69/100,1
978, Steve Purcell,7.0/10,78%,69/100,1
979, Tom McGrath,6.8/10,66%,23/100,3
980,Rich Moore,7.8/10,92%,75/100,2
981, Mike Thurmeier,6.8/10,42%,27/100,2
982,Matthew Campagna,N/A/10,N/A%,N/A/100,1
983,Tony Gilroy,6.7/10,70%,52/100,3
984,Peter Ramsey,7.3/10,74%,57/100,1
985,Simon West,6.0/10,37%,28/100,4
986,Mike McCoy,6.5/10,26%,4/100,1
987, Scott Waugh,6.5/10,26%,4/100,1
988,Josh Trank,7.0/10,85%,69/100,1
989,Måns Mårlind,6.4/10,27%,39/100,1
990, Björn Stein,6.4/10,27%,39/100,1
991,Scott Hicks,6.6/10,37%,33/100,3
992,Larry Charles,7.1/10,72%,68/100,3
993,Len Wiseman,6.8/10,40%,48/100,4
994,Jon Hurwitz,6.7/10,44%,49/100,1
995, Hayden Schlossberg,6.7/10,44%,49/100,1
996,Chris Butler,7.0/10,87%,72/100,1
997, Sam Fell,6.8/10,80%,73/100,2
998,James Watkins,6.4/10,67%,62/100,1
999,Peter Hedges,6.8/10,61%,40/100,3
1000, Brian Taylor,5.8/10,42%,30/100,4
1001,Joe Carnahan,6.9/10,60%,41/100,4
1002,Anthony Hemingway,5.9/10,40%,46/100,1
1003,Ole Bornedal,5.9/10,40%,45/100,1
1004,Dan Bradley,5.4/10,13%,3/100,1
1005,Drew Goddard,7.0/10,92%,72/100,1
1006,Adam Shankman,6.0/10,35%,29/100,8
1007,Robert Lorenz,6.8/10,51%,58/100,1
1008, John Sullivan,5.0/10,25%,28/100,1
1009,Mark Tonderai,5.6/10,11%,3/100,1
1010,Peter Lord,6.8/10,92%,88/100,2
1011, Jeff New,6.7/10,86%,N/A/100,1
1012,Todd Graff,6.1/10,59%,55/100,3
1013, Mark Linfield,7.2/10,75%,57/100,1
1014, Lana Wachowski,7.5/10,66%,55/100,1
1015,Julie Anne Robinson,5.6/10,11%,28/100,2
1016,Dan Cutforth,5.9/10,75%,57/100,1
1017, Jane Lipsitz,5.9/10,75%,57/100,1
1018,Salim Akil,5.7/10,58%,55/100,2
1019,Asger Leth,6.6/10,31%,4/100,1
1020,Brian Robbins,5.2/10,19%,35/100,7
1021,Bradley Parker,5.0/10,17%,N/A/100,1
1022,David Wain,6.2/10,68%,30/100,2
1023,James McTeigue,6.7/10,35%,46/100,4
1024,RZA,5.4/10,49%,5/100,1
1025,Andrew Dominik,6.8/10,75%,66/100,2
1026,Steve Saint Leger,6.0/10,36%,48/100,1
1027, James Mather,6.0/10,36%,48/100,1
1028,David Palmer,6.0/10,49%,5/100,1
1029, Dax Shepard,6.0/10,49%,5/100,1
1030,Pete Travis,6.8/10,56%,32/100,2
1031,Gabriele Muccino,7.1/10,32%,42/100,3
1032,Benh Zeitlin,7.3/10,86%,86/100,1
1033,Chris Kentis,5.5/10,58%,56/100,2
1034, Laura Lau,5.3/10,43%,49/100,1
1035,Andrew Adamson,7.1/10,73%,60/100,5
1036,Heitor Dhalia,5.9/10,11%,36/100,1
1037,Brian Klugman,7.0/10,24%,37/100,1
1038, Lee Sternthal,7.0/10,24%,37/100,1
1039,Josh Schwartz,5.4/10,25%,37/100,1
1040,Nicholas Jarecki,6.6/10,87%,73/100,1
1041,Gus Van Sant,7.2/10,76%,55/100,5
1042,Jennifer Westfeldt,6.2/10,66%,55/100,1
1043,Marcus Dunstan,6.2/10,34%,34/100,2
1044,Michael Haneke,7.4/10,76%,75/100,4
1045,Sacha Gervasi,6.8/10,61%,55/100,1
1046,Michael Apted,6.6/10,49%,50/100,5
1047, Curtis Hanson,7.2/10,31%,45/100,1
1048,Ben Lewin,7.2/10,93%,79/100,1
1049,Matt Piedmont,5.5/10,41%,52/100,1
1050,Dean Wright,6.6/10,20%,35/100,1
1051,Todd Lincoln,4.0/10,3%,8/100,1
1052,Jay Duplass,6.4/10,80%,40/100,2
1053, Mark Duplass,6.4/10,80%,40/100,2
1054,Michael Dowse,6.5/10,55%,53/100,2
1055,Mabrouk El Mechri,4.9/10,5%,22/100,1
1056,Malik Bendjelloul,8.2/10,94%,79/100,1
1057,Darrel Campbell,4.0/10,0%,N/A/100,1
1058, Kevin McAfee,4.0/10,0%,N/A/100,1
1059,Yash Chopra,7.3/10,92%,67/100,2
1060,Rodrigo García,7.0/10,68%,60/100,2
1061,Reema Kagti,7.3/10,83%,65/100,1
1062,Anurag Basu,7.0/10,84%,62/100,2
